"","ENSG00000164308.12","ENSG00000124587.9","ENSG00000180185.7","ENSG00000168827.9","ENSG00000136536.9"
"HG00096",-1.16633689696683,-0.685935753049393,-0.306242139658105,0.927584408622131,0.360008763945335
"HG00097",-1.04580261431236,-0.178957574493853,-1.03333046420892,-0.667664420705464,-1.77825295709656
"HG00099",1.04580261431236,-0.894574678593869,-2.52426034364226,-2.75904239094674,-2.52426034364226
"HG00100",0.223446000722478,-0.0982432620682955,1.15211124629477,0.2533471031358,0.054518914848101
"HG00101",-0.223446000722478,0.862512064376565,1.3782829603729,1.0842344300009,0.260856854090312
"HG00102",-1.45768446378153,-0.329167633736699,-0.186345392110644,-1.16633689696683,-2.37832893336567
"HG00103",2.52426034364226,-0.916470277450651,1.45768446378153,1.21050035006428,-0.536946821289634
"HG00104",0.238369910397064,-0.291048152036459,-0.112855738617201,-0.0763628372999463,-0.0763628372999463
"HG00106",0.841621233572914,-0.336847472828875,1.47903696807313,0.383364831687407,0.614128472340675
"HG00108",0.713781471141954,0.487241842221569,-0.685935753049393,-1.32398734880788,-0.87309977661884
"HG00109",0.57082844070779,-0.391196258189472,1.94169600161785,0.996843294438167,-1.47903696807313
"HG00110",0.0472438985491378,0.216002874094624,0.120170828099354,-0.852020167764865,0.112855738617201
"HG00111",-1.59754207091797,0.438712918596108,0.883786279781473,1.28985372774504,0.238369910397064
"HG00112",0.883786279781473,0.422769053830578,0.298636527929015,-0.742192000707149,1.3782829603729
"HG00114",0.470943392868281,0.208571695014205,-0.695157630229606,1.45768446378153,1.34164803062553
"HG00116",-1.11077161663679,-1.89591704635569,0.45476910046178,-0.528573353230285,0.495439589289988
"HG00117",1.85379764219965,-0.579400687134516,0.178957574493853,-0.2533471031358,0.164210777079331
"HG00118",-1.43697661736907,-1.68104783696478,-0.164210777079331,1.24130593342226,1.77825295709656
"HG00119",-0.112855738617201,-0.223446000722478,-0.2533471031358,0.536946821289634,-0.562297937286431
"HG00120",-0.344547230995852,-0.27592106310796,1.19551966435596,-0.298636527929015,-0.375556847421688
"HG00121",1.13811500395759,0.0909450775354972,-0.0982432620682955,-0.329167633736699,-0.0254323035515012
"HG00122",0.790928858076957,0.186345392110644,-0.520236783466666,-0.383364831687407,0.751795725375043
"HG00123",0.336847472828875,1.34164803062553,-0.553808157475141,1.41686726396468,1.19551966435596
"HG00124",-1.77825295709656,0.916470277450651,-0.120170828099355,-0.283476499013379,0.336847472828875
"HG00125",-0.399051751363824,-0.306242139658105,0.841621233572914,-0.0327009786272293,-2.04779888005601
"HG00126",1.09740642022538,-1.47903696807313,-0.156850948269853,-0.831312523824641,0.2533471031358
"HG00127",0.950163886289719,-0.0909450775354971,-0.649613316774583,-0.640666889919105,0.704439008633485
"HG00128",0.283476499013379,-0.406931947371872,-1.68104783696478,1.04580261431236,-1.99194756281586
"HG00129",-0.973238495229513,0.528573353230285,1.03333046420892,-1.21050035006428,-0.622925723210088
"HG00130",-1.68104783696478,0.462841111101068,-0.961637188471036,0.503670767804903,0.186345392110644
"HG00131",-2.27031618412745,-0.631771450027029,-0.894574678593869,-0.291048152036459,-0.487241842221569
"HG00133",-1.22575773870374,0.950163886289719,0.329167633736699,0.87309977661884,0.422769053830578
"HG00134",0.605378495489875,-0.961637188471036,0.996843294438167,0.306242139658105,1.28985372774504
"HG00135",0.298636527929015,0.367771692256323,0.260856854090312,0.0108985995538832,0.223446000722478
"HG00136",1.65192066575712,1.03333046420892,0.112855738617201,0.528573353230285,0.916470277450651
"HG00137",1.39731508813371,-0.208571695014205,0.536946821289634,0.446726613508223,0.321507160267717
"HG00138",-1.30673023060499,1.71167530650973,-1.32398734880788,0.631771450027029,0.996843294438167
"HG00139",-0.178957574493853,-0.950163886289719,0.528573353230285,-0.87309977661884,0.352267470737613
"HG00141",1.25716014400141,-1.71167530650973,0.0909450775354972,-0.596674624445304,1.03333046420892
"HG00142",1.12433823156864,-0.283476499013379,0.245851613108083,0.216002874094624,1.71167530650973
"HG00143",0.536946821289634,0.336847472828875,0.367771692256323,-1.45768446378153,0.771214653234946
"HG00146",-0.193743394592957,-0.503670767804903,2.37832893336567,0.375556847421688,1.21050035006428
"HG00148",1.0842344300009,0.984972292326496,1.04580261431236,-2.52426034364226,-0.905468215149992
"HG00149",-0.142156334137335,0.134820720034536,1.54751491633472,-0.193743394592957,-0.230901527086056
"HG00150",0.00363280259140224,0.742192000707149,-0.0181649719262723,-0.223446000722478,-1.03333046420892
"HG00151",-0.352267470737613,0.399051751363824,-0.841621233572914,2.37832893336567,-0.112855738617201
"HG00152",-1.89591704635569,-2.18368357888543,-0.17157951159206,-0.8109553641377,-2.18368357888543
"HG00154",0.676771844644883,0.27592106310796,-0.208571695014205,-1.24130593342226,0.622925723210088
"HG00155",0.321507160267717,0.790928858076957,0.360008763945335,0.164210777079331,2.37832893336567
"HG00156",0.938814316876903,-0.973238495229513,1.50108594604402,0.406931947371872,0.852020167764865
"HG00158",-1.71167530650973,1.05843960266334,0.894574678593869,0.0254323035515012,-0.268381345510807
"HG00159",-0.2533471031358,1.22575773870374,0.0181649719262725,-0.927584408622131,-0.916470277450651
"HG00160",0.905468215149993,-0.201152016104373,-0.238369910397064,0.545358108124991,0.676771844644883
"HG00171",0.291048152036459,-1.19551966435596,-0.640666889919105,-0.950163886289719,-1.07124791801605
"HG00173",1.74399810491425,-0.511936213871329,-1.19551966435596,-2.18368357888543,-1.3782829603729
"HG00174",-0.676771844644883,0.260856854090312,1.24130593342226,-0.238369910397064,-0.120170828099355
